continent,year,cont_avg_gdp_growth
Asia,1990,NA
Asia,1991,1.5444465858476621
Asia,1992,2.6305153972701283
Asia,1993,3.3179569348447564
Asia,1994,-3.7813385658056813
Asia,1995,4.322226996464861
Asia,1996,3.80807809585455
Asia,1997,3.339402396650881
Asia,1998,2.668724698356612
Asia,1999,5.67402226275581
Asia,2000,6.185167300726809
Asia,2001,7.042163758330887
Asia,2002,1.950186235443218
Asia,2003,3.6313630197951365
Asia,2004,4.107941483448377
Asia,2005,6.374383083299723
Asia,2006,4.371780230124392
Asia,2007,7.695471996947563
Asia,2008,6.110217751174276
Asia,2009,6.756194514081675
Asia,2010,6.768581384387976
Asia,2011,3.8941564872653203
Asia,2012,5.472285070624198
Asia,2013,4.333316356598157
Asia,2014,4.43041545154954
Asia,2015,3.1077664481638747
Asia,2016,3.9070315722572273
Asia,2017,3.4354877547047993
Asia,2018,3.584515186577302
Asia,2019,7.218725997079442
Asia,2020,2.857054207937247
Asia,2021,-3.9064005489312086
