continent,year,cont_avg_gdp_growth,sd
Africa,1990,NA,NA
Africa,1991,-0.3164387463811921,NA
Africa,1992,-1.3085864115152066,NA
Africa,1993,-1.4017666272172848,NA
Africa,1994,-0.8428580988415247,NA
Africa,1995,2.986655068827097,1.8201692132888625
Africa,1996,3.885012193116555,2.5592360129200054
Africa,1997,5.022503932140968,2.884942981820931
Africa,1998,1.4859956728113377,2.2760022338783106
Africa,1999,1.1792048226853336,1.6157521734140197
Africa,2000,0.9611171470440674,1.8317970022000454
Africa,2001,2.333934114501313,1.6636603482493515
Africa,2002,1.6490140617273672,0.5264892900785322
Africa,2003,1.2074475095693156,0.5456214874221454
Africa,2004,3.531476923137597,1.0328894690487058
Africa,2005,2.8813020231279687,0.931520747712417
Africa,2006,3.1351112389909552,1.0007174241589056
Africa,2007,2.87809859880981,0.8901428377364383
Africa,2008,2.105700495719575,0.5209559830921056
Africa,2009,0.464428205327667,1.0927427494973712
Africa,2010,3.205627356465152,1.1447866103822946
Africa,2011,1.3457745240760752,1.1204640499725913
Africa,2012,4.570888748541701,1.6036921421342276
Africa,2013,1.1732826729667842,1.6894480659782298
Africa,2014,1.8399469481238857,1.439444895075429
Africa,2015,0.6070255508810515,1.5527433271039968
Africa,2016,0.6286373166467433,1.6477998691566247
Africa,2017,1.564295643516576,0.5509200273868129
Africa,2018,1.3060742821204054,0.5547489389786828
Africa,2019,0.7612082944507877,0.43530066982218807
Africa,2020,-4.629190423444466,2.575347030851774
Africa,2021,2.4188613815750184,2.8110760160812824
Asia,1990,NA,NA
Asia,1991,-0.7942029771117964,NA
Asia,1992,-1.3135166114351098,NA
Asia,1993,1.04802968539118,NA
Asia,1994,-1.006492262956069,NA
Asia,1995,2.146309298560028,1.5060574929127988
Asia,1996,3.0123537050480684,1.9037052699815622
Asia,1997,2.9792404978763085,1.6798463117843576
Asia,1998,1.4321309247630103,1.6548389028956563
Asia,1999,2.93636109708048,0.6978578068839258
Asia,2000,4.305089886837608,1.01780218160063
Asia,2001,2.1463884876397823,1.0731061964473128
Asia,2002,2.4634643515782004,1.0715324100199135
Asia,2003,4.204218833359958,0.9938749948679955
Asia,2004,7.058621502662228,1.9545105999770258
Asia,2005,4.79077149699078,1.9831143910693425
Asia,2006,5.57500689724714,1.6966695409251982
Asia,2007,5.769544768512766,1.0825388182568323
Asia,2008,3.376794739937068,1.3551643812388634
Asia,2009,0.549125419823575,2.1525232280957782
Asia,2010,5.0395379580349005,2.1777438744857163
Asia,2011,4.627274843664634,2.0506696350827083
Asia,2012,3.601420508413251,1.7575084438599913
Asia,2013,3.0707231992116366,1.7655213416619775
Asia,2014,2.163870337100021,1.164001774903134
Asia,2015,1.4437688441548988,1.2383428832777694
Asia,2016,2.658273267976019,0.8297787806660808
Asia,2017,2.5756805011960964,0.6156370438414779
Asia,2018,2.5121760357297513,0.4991904743940726
Asia,2019,2.4657587162619192,0.5012833641277622
Asia,2020,-5.445965138964981,3.577962843945496
Asia,2021,3.846541961200275,3.7546326459937602
Europe,1990,NA,NA
Europe,1991,-2.3196090918688173,NA
Europe,1992,-1.506105173068729,NA
Europe,1993,-0.8654427725849423,NA
Europe,1994,1.2725341401146757,NA
Europe,1995,3.1047759408076954,2.2156944239891616
Europe,1996,4.628594858264727,2.5931290260882265
Europe,1997,4.021872068143255,2.2373443219545326
Europe,1998,3.758245269474313,1.2873054032445865
Europe,1999,2.489576205854873,0.8275431987223711
Europe,2000,5.045873787655046,0.9783485675282407
Europe,2001,3.3315459224021624,0.9374068085444859
Europe,2002,3.10857296060477,0.9549909322600125
Europe,2003,3.347582868252507,0.9499012890212796
Europe,2004,4.861890755708992,0.9334453161752709
Europe,2005,4.0618786180330195,0.7214125796007849
Europe,2006,5.0910475947630385,0.8821843199377352
Europe,2007,5.144418187470587,0.7771073401526614
Europe,2008,2.1023634066678456,1.2776404945932966
Europe,2009,-5.099145563000873,4.294279275033193
Europe,2010,1.8033307503604297,4.174488545474208
Europe,2011,1.7732081907445385,3.7659424157272756
Europe,2012,-0.17589193194242933,3.0338013719234644
Europe,2013,0.932424708040706,2.880127364199139
Europe,2014,1.7096021465214082,0.8539000095925557
Europe,2015,2.5982869461075513,1.0449663491323382
Europe,2016,2.4215709711057767,1.143478964617047
Europe,2017,3.305424632661825,0.9050846984739077
Europe,2018,3.0846612972150154,0.623359933515853
Europe,2019,2.6339403874815015,0.3699910232542556
