continent,year,cont_avg_gdp_growth,sd
Africa,1990,NA,NA
Africa,1991,-0.057222101586037424,NA
Africa,1992,1.250883252044549,NA
Africa,1993,-0.662387287100974,NA
Africa,1994,1.701355632910361,NA
Africa,1995,2.0890944991143408,1.175819645468805
Africa,1996,6.40857783984205,2.600871394171941
Africa,1997,9.343130273358085,4.024067801428987
Africa,1998,3.252860909139392,3.2512076408144583
Africa,1999,1.6464605414012254,3.263340197951895
Africa,2000,2.125995453887215,3.2564233670574967
Africa,2001,3.1164185767849846,3.117929699114798
Africa,2002,1.4545317505471373,0.8283775853362111
Africa,2003,1.627635022994004,0.675144245385061
Africa,2004,3.8191183707840035,1.0110092725340962
Africa,2005,3.1831468528953284,1.0419358148262072
Africa,2006,3.4018100267520928,1.081609225975589
Africa,2007,3.2946335224112775,0.8388747613179133
Africa,2008,1.2065614990242495,1.0207086751017662
Africa,2009,0.09450710300985136,1.501885521810112
Africa,2010,3.5034114378809122,1.5581468778058967
Africa,2011,0.5002440838581429,1.5853767495105728
Africa,2012,7.160133911375355,2.923261814801357
Africa,2013,1.1185992931861672,2.9331868067279974
Africa,2014,1.4838024139306123,2.7084582217455457
Africa,2015,0.0474133278546773,2.903141734147947
Africa,2016,-0.24971767409777718,3.0209871795394805
Africa,2017,2.0456666267565593,0.9681592565019377
Africa,2018,1.0718996473634517,0.9656143030698555
Africa,2019,-0.1722519664559826,0.9903506642239879
Africa,2020,-7.0353115382896405,3.5761268786385325
Africa,2021,4.292100343963175,4.2799811977258555
Asia,1990,NA,NA
Asia,1991,-1.0693382198129096,NA
Asia,1992,-1.777520377165138,NA
Asia,1993,0.7886094283107715,NA
Asia,1994,-0.6100856482632673,NA
Asia,1995,1.844098507184356,1.4630446382088071
Asia,1996,2.907653127310373,1.8722220199331852
Asia,1997,2.9318507743533386,1.5068509102303027
Asia,1998,1.2694212177112207,1.4589042874951619
Asia,1999,2.5761425226495156,0.7270662077485878
Asia,2000,4.057711279746925,0.9987945895004176
Asia,2001,1.3931922921488429,1.1557835475642932
Asia,2002,2.542430215598967,1.1276079309588234
Asia,2003,4.307039107589541,1.2036310658143408
Asia,2004,7.588230736880098,2.339363038224255
Asia,2005,4.50653351996097,2.3517777265184163
Asia,2006,5.790970658012761,1.8757600313333815
Asia,2007,5.423865522383443,1.309444383513055
Asia,2008,2.8861803533047485,1.7269915486261442
Asia,2009,-0.5649639047868532,2.5886647615612093
Asia,2010,4.729196830227938,2.60980433703751
Asia,2011,4.7588601896850236,2.43327842216403
Asia,2012,3.2656243049394913,2.1722722973317343
Asia,2013,2.844103914552518,2.172977387123111
Asia,2014,1.7570545473270303,1.2859267105328
Asia,2015,1.1451026075379034,1.4028358304618072
Asia,2016,2.434137162079392,0.847712684928009
Asia,2017,2.421356122361201,0.6700704925692602
Asia,2018,2.319704906090447,0.5605583285994012
Asia,2019,1.6126620248331334,0.5805619575786304
Asia,2020,-6.975468702868022,4.116124083363154
Asia,2021,5.313314868522449,4.6457235523249905
Europe,1990,NA,NA
Europe,1991,-2.3196090918688173,NA
Europe,1992,-1.506105173068729,NA
Europe,1993,-0.8654427725849423,NA
Europe,1994,1.2725341401146755,NA
