continent,year,cont_avg_gdp_growth
Africa,1990,NA
Africa,1991,-0.3164387463811923
Africa,1992,-1.3085864115152066
Africa,1993,-1.4017666272172848
Africa,1994,-0.8428580988415245
Africa,1995,2.986655068827097
Africa,1996,3.885012193116555
Africa,1997,5.022503932140968
Africa,1998,1.4859956728113375
Africa,1999,1.1792048226853336
Africa,2000,0.9611171470440674
Africa,2001,2.3339341145013126
Africa,2002,1.6490140617273672
Africa,2003,1.2074475095693156
Africa,2004,3.531476923137597
Africa,2005,2.8813020231279687
Africa,2006,3.1351112389909557
Africa,2007,2.87809859880981
Africa,2008,2.105700495719575
Africa,2009,0.4644282053276671
Africa,2010,3.205627356465152
Africa,2011,1.345774524076075
Africa,2012,4.570888748541701
Africa,2013,1.1732826729667845
Africa,2014,1.8399469481238857
Africa,2015,0.6070255508810515
Africa,2016,0.6286373166467432
Africa,2017,1.564295643516576
Africa,2018,1.3060742821204054
Africa,2019,0.7612082944507876
Africa,2020,-4.629190423444466
Africa,2021,2.4188613815750184
Asia,1990,NA
Asia,1991,-0.7942029771117965
Asia,1992,-1.3135166114351093
Asia,1993,1.0480296853911804
Asia,1994,-1.006492262956069
Asia,1995,2.146309298560028
Asia,1996,3.0123537050480684
Asia,1997,2.9792404978763085
Asia,1998,1.4321309247630103
Asia,1999,2.9363610970804803
Asia,2000,4.305089886837608
Asia,2001,2.1463884876397823
Asia,2002,2.4634643515782004
Asia,2003,4.204218833359958
Asia,2004,7.058621502662228
Asia,2005,4.79077149699078
Asia,2006,5.57500689724714
Asia,2007,5.769544768512766
Asia,2008,3.376794739937068
Asia,2009,0.5491254198235751
Asia,2010,5.0395379580349005
Asia,2011,4.627274843664634
Asia,2012,3.601420508413251
Asia,2013,3.070723199211637
Asia,2014,2.163870337100021
Asia,2015,1.443768844154899
Asia,2016,2.658273267976019
Asia,2017,2.5756805011960964
Asia,2018,2.5121760357297513
Asia,2019,2.4657587162619197
Asia,2020,-5.44596513896498
Asia,2021,3.846541961200276
Europe,1990,NA
Europe,1991,-2.3196090918688173
Europe,1992,-1.506105173068729
Europe,1993,-0.8654427725849424
Europe,1994,1.2725341401146757
Europe,1995,3.104775940807695
Europe,1996,4.628594858264727
Europe,1997,4.021872068143255
Europe,1998,3.758245269474313
Europe,1999,2.489576205854873
Europe,2000,5.045873787655046
Europe,2001,3.3315459224021624
Europe,2002,3.10857296060477
Europe,2003,3.347582868252507
Europe,2004,4.861890755708992
Europe,2005,4.0618786180330195
Europe,2006,5.0910475947630385
Europe,2007,5.144418187470587
Europe,2008,2.1023634066678456
Europe,2009,-5.099145563000873
Europe,2010,1.8033307503604297
Europe,2011,1.7732081907445383
Europe,2012,-0.17589193194242936
Europe,2013,0.932424708040706
Europe,2014,1.7096021465214082
Europe,2015,2.5982869461075513
Europe,2016,2.4215709711057767
Europe,2017,3.305424632661825
Europe,2018,3.0846612972150154
Europe,2019,2.6339403874815015
Europe,2020,-4.72442399700192
Europe,2021,6.679676170300374
North America,1990,NA
North America,1991,0.3879386380913664
North America,1992,2.3744991567505584
North America,1993,1.8635353227765856
North America,1994,0.8066477313426198
North America,1995,1.8095913901004772
North America,1996,2.0250576334993897
North America,1997,3.154519930885673
North America,1998,2.7035798845984136
North America,1999,2.7349931093356212
North America,2000,3.369604182567138
North America,2001,0.6021512405043447
North America,2002,0.9113931968334692
North America,2003,2.3404816484019566
North America,2004,2.6787554860072293
North America,2005,2.660123622108415
North America,2006,3.6413823210374616
North America,2007,2.9158301379403744
North America,2008,1.121769849388735
North America,2009,-4.1045304414057755
North America,2010,-0.0452874956965659
North America,2011,1.3968999134629148
North America,2012,0.629867212388814
North America,2013,0.7699255732750552
North America,2014,1.7400889509442206
North America,2015,1.529750765007083
North America,2016,1.3503908189587122
North America,2017,0.6391779379987332
North America,2018,1.152787310619728
North America,2019,0.896755301633028
North America,2020,-11.865559213768764
North America,2021,5.924387039115995
Oceania,1990,NA
Oceania,1991,0.4699125788566493
Oceania,1992,2.580565173588952
Oceania,1993,3.4870814334342914
Oceania,1994,3.1067698926333724
Oceania,1995,2.0776533751144894
Oceania,1996,-0.20305108496709634
Oceania,1997,-1.029785039494345
Oceania,1998,1.436289500284853
Oceania,1999,0.6393019226563456
Oceania,2000,-0.2931110293569871
Oceania,2001,0.4542522240044505
Oceania,2002,1.5350702911192016
Oceania,2003,0.5627780056877336
Oceania,2004,0.928908267489218
Oceania,2005,1.6720606510801987
Oceania,2006,1.8074986635919565
Oceania,2007,-0.1724002787762146
Oceania,2008,1.5281838921416493
Oceania,2009,-0.27110503130862296
Oceania,2010,2.6389910727630173
Oceania,2011,3.2086075360761694
Oceania,2012,0.8957294224200338
Oceania,2013,2.9653020054861927
Oceania,2014,3.316311961911423
Oceania,2015,3.4678039855170932
Oceania,2016,2.6198046168739437
Oceania,2017,0.9414678373542635
Oceania,2018,1.3860856172454161
Oceania,2019,2.227082747123798
Oceania,2020,-4.102940849201316
Oceania,2021,-2.187287933484504
South America,1990,NA
South America,1991,2.743334844970686
South America,1992,2.388830236682886
South America,1993,2.59179327471727
South America,1994,4.625537135934757
South America,1995,2.0656581902934863
South America,1996,2.2214142006467212
South America,1997,4.158523801426842
South America,1998,0.551856691342117
South America,1999,-2.443150109808515
South America,2000,-0.038188148963200774
South America,2001,-0.3542650263605095
South America,2002,-0.6365255689070918
South America,2003,2.3887810782668852
South America,2004,4.634739434573307
South America,2005,3.5715201429111336
South America,2006,4.5441253125198875
South America,2007,5.040534580446809
South America,2008,4.237370655868031
South America,2009,-0.0538273295491965
South America,2010,5.649321900542367
South America,2011,4.726303424279495
South America,2012,2.4972509582932996
South America,2013,3.56601454142373
South America,2014,1.3544413430872209
South America,2015,0.14479359807551886
South America,2016,-0.14346973644163452
South America,2017,1.3371076552099639
South America,2018,1.0674517983412115
South America,2019,-0.07352007906003855
South America,2020,-3.9711586591862456
South America,2021,6.887146392106621
NA,1990,NA
NA,1991,-0.036384879045687234
NA,1992,0.12250912947195364
NA,1993,0.20919247267734326
NA,1994,1.155102720422488
NA,1995,1.9284133539138835
NA,1996,2.893916687455271
NA,1997,2.702818954554368
NA,1998,1.2772058946888634
NA,1999,2.066463793667706
NA,2000,3.2254047929801475
NA,2001,1.5351684567230017
NA,2002,1.7831164772352377
NA,2003,2.9330399542658094
NA,2004,4.399321523737585
NA,2005,3.794887022652121
NA,2006,4.334961588415071
NA,2007,4.402406889100218
NA,2008,2.160836367434135
NA,2009,-0.7174891488062447
NA,2010,4.236965082674597
NA,2011,2.8022886252895396
NA,2012,1.9494545411468456
NA,2013,2.263556962340502
NA,2014,2.5864630290552917
NA,2015,2.2901267721502743
NA,2016,2.2689920373361914
NA,2017,2.573784678420919
NA,2018,2.428262884557527
NA,2019,1.7020445168135723
NA,2020,-4.107983701035884
NA,2021,4.792785190966998
