continent,year,cont_avg_gdp_growth
North America,1990,NA
North America,1991,0.3879386380913664
North America,1992,2.3744991567505584
North America,1993,1.8635353227765856
North America,1994,0.8066477313426198
North America,1995,1.8095913901004772
North America,1996,2.0250576334993897
North America,1997,3.154519930885673
North America,1998,2.7035798845984136
North America,1999,2.7349931093356212
North America,2000,3.369604182567138
North America,2001,0.6021512405043447
North America,2002,0.9113931968334692
North America,2003,2.3404816484019566
North America,2004,2.6787554860072293
North America,2005,2.660123622108415
North America,2006,3.6413823210374616
North America,2007,2.9158301379403744
North America,2008,1.121769849388735
North America,2009,-4.1045304414057755
North America,2010,-0.0452874956965659
North America,2011,1.3968999134629148
North America,2012,0.629867212388814
North America,2013,0.7699255732750552
North America,2014,1.7400889509442206
North America,2015,1.529750765007083
North America,2016,1.3503908189587122
North America,2017,0.6391779379987332
North America,2018,1.152787310619728
North America,2019,0.896755301633028
North America,2020,-11.865559213768764
North America,2021,5.924387039115995
