continent,year,cont_avg_gdp_growth
Oceania,1990,NA
Oceania,1991,0.4699125788566493
Oceania,1992,2.580565173588952
Oceania,1993,3.4870814334342914
Oceania,1994,3.1067698926333724
Oceania,1995,2.0776533751144894
Oceania,1996,-0.20305108496709634
Oceania,1997,-1.029785039494345
Oceania,1998,1.436289500284853
Oceania,1999,0.6393019226563456
Oceania,2000,-0.2931110293569871
Oceania,2001,0.4542522240044505
Oceania,2002,1.5350702911192016
Oceania,2003,0.5627780056877336
Oceania,2004,0.928908267489218
Oceania,2005,1.6720606510801987
Oceania,2006,1.8074986635919565
Oceania,2007,-0.1724002787762146
Oceania,2008,1.5281838921416493
Oceania,2009,-0.27110503130862296
Oceania,2010,2.6389910727630173
Oceania,2011,3.2086075360761694
Oceania,2012,0.8957294224200338
Oceania,2013,2.9653020054861927
Oceania,2014,3.316311961911423
Oceania,2015,3.4678039855170932
Oceania,2016,2.6198046168739437
Oceania,2017,0.9414678373542635
Oceania,2018,1.3860856172454161
Oceania,2019,2.227082747123798
Oceania,2020,-4.102940849201316
Oceania,2021,-2.187287933484504
