continent,year,cont_avg_gdp_growth
North America,2010,0.20219837443498584
North America,2011,1.3033881493462485
North America,2012,0.689182372407886
North America,2013,0.6984002971127793
North America,2014,1.7935842175197496
North America,2015,1.5452310063134245
North America,2016,1.3848277097709385
North America,2017,0.6228009225608225
North America,2018,1.1834812553527012
North America,2019,1.0406543751004889
North America,2020,-12.134855249852183
North America,2021,6.255134820898503
Oceania,1990,NA
Oceania,1991,0.3313093960142164
Oceania,1992,2.30569398375177
Oceania,1993,4.214433150079488
Oceania,1994,2.4702416855066596
Oceania,1995,2.748206565533215
Oceania,1996,0.555167805292355
Oceania,1997,-2.041770245957915
Oceania,1998,-0.16156884849824948
Oceania,1999,1.7362086265648562
Oceania,2000,1.0490222184070137
Oceania,2001,1.9188586743976985
Oceania,2002,1.364224666130539
Oceania,2003,0.8190214356656517
Oceania,2004,1.3899512317089786
Oceania,2005,1.942701755386892
Oceania,2006,2.2007570713364193
Oceania,2007,-0.8873713228301056
Oceania,2008,1.4606463835230392
Oceania,2009,0.38625747545851935
Oceania,2010,3.2978526465042837
Oceania,2011,3.1573127709762594
Oceania,2012,1.1485563880291418
Oceania,2013,2.9612503353373265
Oceania,2014,4.558502884300088
Oceania,2015,2.775059464884135
Oceania,2016,2.709875035654758
Oceania,2017,1.1234871953080285
Oceania,2018,1.2769082272652312
Oceania,2019,1.916333355524075
Oceania,2020,-4.543571359090884
Oceania,2021,-2.6741856507205624
South America,1990,NA
South America,1991,2.743334844970686
South America,1992,2.388830236682886
South America,1993,2.5917932747172703
South America,1994,4.625537135934757
South America,1995,2.0656581902934863
South America,1996,2.2214142006467212
South America,1997,4.158523801426842
South America,1998,0.5518566913421171
South America,1999,-2.443150109808515
South America,2000,-0.03818814896320069
South America,2001,-0.3542650263605095
South America,2002,-0.6365255689070917
South America,2003,2.3887810782668852
South America,2004,4.634739434573307
South America,2005,3.5715201429111336
South America,2006,4.5441253125198875
South America,2007,5.040534580446809
South America,2008,4.237370655868031
South America,2009,-0.053827329549196445
South America,2010,5.649321900542368
South America,2011,4.726303424279495
South America,2012,2.4972509582932996
South America,2013,3.56601454142373
South America,2014,1.3544413430872206
South America,2015,0.14479359807551884
South America,2016,-0.14346973644163452
South America,2017,1.3371076552099639
South America,2018,1.0674517983412115
South America,2019,-0.07352007906003856
